,Character_1,Character_2,Win_Probability
748,1280,3261,-1
749,5623,265,1
750,2544,3465,1
751,3261,11178,1
752,11422,3261,1
753,7104,161,1
754,8138,5823,1
755,5823,10567,1
756,11456,6105,-1
757,10774,3261,0
758,8089,3261,1
759,2096,3261,-1
760,1276,3261,-1
761,8528,8323,-1
762,6810,3261,1
763,1741,4852,-1
764,1276,8344,-1
765,2617,7176,-1
766,2617,7104,-1
767,2617,1633,0
768,3053,5057,0
769,2617,3039,-1
770,2617,11827,1
771,1276,1741,1
772,11422,981,1
773,1276,869,1
774,11422,8392,1
775,1276,4810,0
776,11422,6858,1
777,11422,2617,1
778,4346,8772,0
779,6105,8772,-1
780,7457,6836,0
781,5899,9349,-1
782,7042,7677,-1
783,2617,9211,1
784,11422,4739,0
785,6858,1553,-1
786,109,882,-1
787,10242,1292,-1
788,7176,11403,-1
789,7677,11403,-1
790,9935,11456,1
791,653,9349,-1
792,9349,9401,0
793,8725,9349,0
794,6347,11659,1
795,9222,6409,-1
796,6827,5579,1
797,489,61,-1
798,6063,3592,1
799,1276,8430,-1
800,2537,4013,-1
801,4572,8725,-1
802,3053,5519,-1
803,10764,11171,1
804,11966,11171,1
805,8496,11966,-1
806,7677,9938,-1
807,7176,6988,1
808,6347,8966,1
809,4810,974,-1
810,10242,4453,-1
811,1683,8383,1
812,186,10774,-1
813,11518,12022,1
814,11422,580,1
815,1553,6926,1
816,1280,8682,1
817,8496,6456,1
818,5390,10774,-1
819,5390,9595,1
820,4349,372,1
821,6810,9211,1
822,2934,1782,1
823,10242,9476,-1
824,1683,9220,1
825,10774,1238,1
826,1703,9283,1
827,3440,7042,-1
828,619,6200,1
829,619,8944,1
830,653,942,1
831,909,7677,1
832,8344,6439,-1
833,3209,2429,-1
834,1276,7435,0
835,10242,6331,-1
836,11259,2574,1
837,10774,11171,1
838,6200,8944,1
839,8943,3987,-1
840,1047,619,1
841,10764,3987,1
842,1711,8943,1
843,779,926,-1
844,5675,8949,-1
845,489,6415,1
846,8061,8521,-1
847,264,3069,1
848,8966,3592,1
849,619,313,1
850,11809,5519,-1
851,5271,926,1
852,1794,6987,-1
853,11155,5930,-1
854,5052,8061,1
855,4339,3039,-1
856,264,8061,1
857,57,3440,0
858,9222,6409,1
859,6827,9042,1
860,10952,9220,-1
861,2617,11570,1
862,5670,9014,-1
863,80,10080,1
864,4376,6810,-1
865,8496,2608,1
866,2617,10263,-1
867,10541,2966,1
868,10764,9118,1
869,114,1292,1
870,7258,4274,-1
871,8644,8854,1
872,6502,11403,-1
873,4693,869,-1
874,6200,313,1
875,11539,3069,-1
876,11809,5519,1
877,11422,3069,-1
878,1276,981,1
879,6858,3440,1
880,5132,5579,1
881,8496,5579,1
882,8243,5474,1
883,57,8061,1
884,7104,7176,-1
885,8496,6196,1
886,5637,6502,-1
887,6827,57,-1
888,7104,3069,1
889,1121,10684,1
890,114,1047,1
891,8536,9903,1
892,5052,5604,0
893,11422,10242,1
894,11422,5675,1
895,1711,10764,1
896,11422,264,-1
897,10754,10764,-1
898,9222,3440,-1
899,2617,4487,1
900,11422,10774,1
901,1276,11422,-1
902,2065,1949,0
903,57,7836,-1
904,3363,6415,1
905,8906,8138,1
906,226,7353,-1
907,3129,1047,-1
908,4991,10832,0
909,3440,8900,-1
910,7104,6394,1
911,3571,6348,1
912,4013,5519,-1
913,10774,10862,1
914,6196,1017,1
915,1860,2790,1
916,1439,9522,-1
917,7587,61,-1
918,882,7637,1
919,2003,7353,-1
920,6810,9349,1
921,3039,5579,1
922,7481,9391,1
923,8955,5391,1
924,1741,4852,-1
925,2663,10136,1
926,7481,9391,0
927,8430,9498,1
928,3598,7645,1
929,2286,1711,-1
930,5390,5579,1
931,5390,6456,1
932,5214,9707,0
933,9313,5566,1
934,5992,8545,-1
935,2608,9211,0
936,4764,358,-1
937,909,3226,1
938,11654,4602,1
939,11570,8819,-1
940,10194,926,1
941,570,6295,0
942,2771,9609,1
943,2568,8878,-1
944,9193,514,-1
945,5512,10122,1
946,5271,10676,1
947,8496,869,1
948,6234,7494,1
949,6234,6109,1
950,5289,4526,1
951,11422,716,-1
952,11744,8270,-1
953,3271,11744,1
954,11403,8138,-1
955,1276,4072,0
956,2198,4739,1
957,11821,11821,1
958,1984,3869,-1
959,7602,4009,-1
960,7146,9634,1
961,11403,4265,-1
962,8944,11403,-1
963,6858,8087,0
964,11950,7629,1
965,5022,6105,1
966,3319,5566,-1
967,5658,514,-1
968,2743,2734,1
969,10774,80,1
970,3319,11666,1
971,6140,4349,-1
972,4549,11971,1
973,10252,5697,1
974,8355,61,1
975,8344,61,-1
976,8120,61,-1
977,7176,61,1
978,4622,10112,1
979,4619,10112,1
980,11422,11288,-1
981,5802,6527,0
982,267,138,-1
983,9693,6451,1
984,11123,61,-1
985,9522,9522,1
986,6810,11998,1
987,349,3869,1
988,4487,4265,1
989,3598,8392,-1
990,3598,4619,-1
991,750,2649,0
992,10952,583,-1
993,8376,4648,1
994,3083,6339,-1
995,5057,4648,-1
996,4619,1703,-1
997,8138,6451,-1
998,3598,6451,-1
999,3598,8138,1
1000,8138,2504,-1
1001,3598,2504,-1
1002,8120,7587,1
1003,3598,8120,1
1004,2771,8545,1
1005,8644,8545,1
1006,61,1026,1
1007,7457,61,1
1008,8906,5410,1
1009,4376,9522,-1
1010,37,11991,-1
1011,9552,11991,-1
1012,114,5519,-1
1013,11911,3855,1
1014,3572,2649,-1
1015,3645,10689,1
1016,3645,8579,1
1017,3039,4739,1
1018,5013,6507,1
1019,9214,5013,0
1020,8661,11178,-1
1021,4810,7183,1
1022,267,1860,1
1023,4100,1703,1
1024,4622,4240,1
1025,8906,11518,1
1026,882,6568,1
1027,10978,11108,0
1028,11827,7533,-1
1029,10535,11478,1
1030,11178,8135,1
1031,3053,2544,-1
1032,6810,933,-1
1033,2198,9533,-1
1034,2104,9533,-1
1035,8906,1803,-1
1036,1026,4240,-1
1037,8120,4400,-1
1038,2429,9522,1
1039,4810,11800,1
1040,11518,4502,-1
1041,2537,1276,0
1042,6394,11869,-1
1043,37,10112,1
1044,1397,11123,0
